dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Geographic,performance_loss_pct,7.700215287314788,-1.5979175289601797,18.37996949803637,0.11059447027648618,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,Geographic,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,LightGBM,performance_loss_pct,8.961906073048496,0.995183251909294,18.829907390297617,0.020898955052247387,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,LightGBM,0.7105644717764111,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,MLP,performance_loss_pct,8.582312646924699,1.2224198763291105,18.21335430707696,0.015499225038748062,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,MLP,0.5424728763561821,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Script,performance_loss_pct,-2.771058159917461,-11.225145985934153,5.222171781941967,0.5192740362981851,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,Script,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Typological,performance_loss_pct,-3.0527971051850655,-12.17872716256017,5.659081979331944,0.5109744512774361,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,Typological,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Wikipedia size,performance_loss_pct,-7.261308099962616,-15.515922270057995,0.7181579864513854,0.07399630018499075,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Genetic,performance_loss_pct,0.6960383653652542,-8.153832749145776,11.560290306447595,0.9534523273836308,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,Genetic,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Geographic,performance_loss_pct,2.720596221917728,-6.579852658087899,13.31925341345267,0.6296685165741713,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,Geographic,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,LightGBM,performance_loss_pct,3.9822870076514363,-4.47407858368251,14.171787334076267,0.42307884605769713,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,LightGBM,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,MLP,performance_loss_pct,3.6026935815276415,-2.163875704252688,12.397904010518586,0.4312784360781961,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,MLP,1.0,scale-free; suitable for cross-task aggregation
