task_lang,transfer_lang,bleu,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
por,msa,4.406157955091544,26.224667,0.10420106270114826,0.8630692273278525,0.658,0.48924569583067135,0.6257999527492413
cat,msa,4.38115181254742,25.141138,0.09538334057009223,0.5992367505666252,0.658,0.4755517105777002,0.4463886758584841
kan,msa,4.378982258009269,25.974098,0.12675074006753084,0.20719736914084433,0.6082,0.5053791214480995,0.9214712235373564
arg,msa,4.230009633619006,27.548557,0.07177814159150353,0.579128427339394,0.658,0.46685865872049953,0.8843206090628628
vie,msa,4.13545407747653,27.291693,0.07347985037912175,0.09887157796383841,0.5922,0.4605257482248287,0.66644578959183
mya,msa,3.967587121419743,27.456562,0.12025674705046008,0.1329154422015626,0.6082,0.48389346057260585,0.7465483508401904
tel,msa,3.941603121962456,24.490767,0.1361722711040414,0.20677596335754192,0.641,0.5045649189570625,0.7323254749052965
hun,msa,3.796544602727057,26.127438,0.10794253235399875,0.495919466396624,0.658,0.5008453063453076,0.22892206513830837
tam,msa,4.698053997726973,26.396439,0.1389350620163048,0.20260420657495223,0.561,0.512285776440979,0.5913363027923091
hau,msa,0.1914381429412005,25.610077,0.08231718995179271,0.5696251933134967,0.5765,0.49285701620696737,0.8388975999185943
tat,msa,0.1830677037795585,27.538586,0.08954822029272314,0.3413103119523576,0.5765,0.4849869238250733,0.14061869602806287
uig,msa,0.0048276145064406,26.661707,0.09365234946185519,0.19823999041949517,0.5765,0.497273950581609,0.9778007502277973
fra,nld,5.941165831488728,21.280947,0.05648225164204346,0.12045220127002228,0.0,0.45963423495242856,0.189139874037892
lav,nld,5.678386840579835,20.499834,0.09847217684282128,0.07576290004809415,0.0,0.48046964621802263,0.9374282564624941
vie,nld,5.380739821871696,22.17564,0.10812236082325088,0.4572498147893264,0.3455,0.5022675085578197,0.4099633965723316
gle,nld,5.2179554781880215,21.671305,0.09436044520515108,0.04938073172151799,0.1864,0.49678472552740865,0.9716243783743927
