,task_lang,transfer_lang,accuracy,f1_score,new_gen,new_typ,new_geo,script
35094,nort3139,telu1262,0.8137254901960784,0.8129441205657738,19.424156,0.12419877455781203,0.23461629765337624,0.409
35095,west2369,telu1262,0.8627450980392157,0.8599457615663677,19.030664,0.10551869348722687,0.14233755692056826,0.641
35096,wara1300,telu1262,0.6421568627450981,0.6397147328307764,22.90747,0.12255039363636422,0.24917844004858272,0.5096
35097,cent2142,telu1262,0.2549019607843137,0.2503585550156324,23.153336,0.12131952902185739,0.8201719905055599,0.5096
35098,dyul1238,telu1262,0.284313725490196,0.2906535188743087,21.626959,0.11991552285705165,0.4509308617049567,0.5062
35100,limb1263,telu1262,0.6519607843137255,0.6387864260523469,21.300388,0.15888439109212849,0.35023080279521657,0.5096
35101,achi1257,telu1262,0.1470588235294117,0.1253614785575175,20.457226,0.13584087968642367,0.24761601210159845,0.4867
35102,maor1246,telu1262,0.2450980392156862,0.2499754045406219,21.82175,0.15318443058965125,0.5771328435500843,0.5096
35103,nucl1347,telu1262,0.3186274509803921,0.3240780677771285,21.03433,0.1380648025896244,0.48964706343958503,0.4867
35104,java1254,telu1262,0.7843137254901961,0.7720891149156512,18.40819,0.11975529191579537,0.2475665879299704,0.5096
35105,ilok1237,telu1262,0.5686274509803921,0.5553880881962948,22.887873,0.12022735769788329,0.24049445564391847,0.5096
35106,wels1247,telu1262,0.8088235294117647,0.8051611458431255,21.088924,0.11602619817577087,0.39317923822797834,0.5574
35107,lith1251,telu1262,0.8431372549019608,0.8306766881249593,20.605335,0.08973892634284186,0.295667950669925,0.5096
35108,fiji1243,telu1262,0.2745098039215686,0.276365325707431,20.48808,0.15239490674090528,0.5164366526619362,0.5096
35109,scot1245,telu1262,0.4803921568627451,0.4571818266637311,21.84487,0.1219347316518854,0.39824619299082664,0.5574
35110,sici1248,telu1262,0.5343137254901961,0.5267336984840683,20.561546,0.12287164313938603,0.3200454143233193,0.5096
35111,bosn1245,telu1262,0.8676470588235294,0.8682426644748713,25.328602,0.11055175317493682,0.29831899688750485,0.5096
35113,najd1235,telu1262,0.8284313725490197,0.8229703097417029,20.306505,0.16245304127981564,0.1838297166312747,0.409
35114,nucl1417,telu1262,0.2009803921568627,0.2091397455198524,18.992693,0.13107675546254638,0.3863941337474757,0.5096
35115,cent1972,telu1262,0.1666666666666666,0.1258416241588384,20.49943,0.1103004180235232,0.1634638325130048,0.4867
35116,stan1289,telu1262,0.8627450980392157,0.8523028254041396,19.730593,0.10919769186434902,0.3991331544217924,0.5096
35117,west2721,telu1262,0.2401960784313725,0.2149121773910615,22.266518,0.14868390708675272,0.24244603524443922,0.641
35118,lomb1257,telu1262,0.6274509803921569,0.6144392906996252,20.844242,0.11717260827785647,0.32720139162204015,0.5096
35119,samo1305,telu1262,0.2205882352941176,0.2182051189270034,24.960564,0.1626377019982166,0.5949778548303817,0.5096
35120,kamb1297,telu1262,0.3039215686274509,0.3116199968359436,22.23117,0.13662256638428927,0.26438268293918726,0.5096
35121,norw1259,telu1262,0.8333333333333334,0.8268772396317504,25.665861,0.10597749702062242,0.3405249749047187,0.5096
35122,east2295,telu1262,0.4901960784313725,0.4847460532007179,21.184473,0.11437297234069876,0.3637856695310787,0.641
35123,kabu1256,telu1262,0.6225490196078431,0.6006559114066274,21.168642,0.28545543882165025,0.5001735765710061,0.5096
35124,indo1316,telu1262,0.8480392156862745,0.8379966858538287,22.604765,0.11555087394648067,0.2470471633805905,0.4867
35125,fonn1241,telu1262,0.196078431372549,0.2014084724935687,21.427465,0.14992945416424908,0.4160394906223144,0.5096
35126,tama1365,telu1262,0.142156862745098,0.1068728197935771,21.85628,0.13334863766837446,0.4305534034820588,0.4878
35127,bela1254,telu1262,0.8186274509803921,0.8170199480993917,21.288622,0.09255981006330327,0.2687318573010529,0.4867
35128,ling1263,telu1262,0.3774509803921568,0.361083467172094,25.036245,0.22663047814036774,0.3368633909047347,0.5096
35129,icel1247,telu1262,0.803921568627451,0.7922817977255907,25.383661,0.12619100457019705,0.40611642418731786,0.5354
35130,lush1249,telu1262,0.4901960784313725,0.483876776605547,21.501932,0.12989962157598156,0.002995129356747842,0.3918
35131,hung1274,telu1262,0.8382352941176471,0.8293863878826578,20.072628,0.10984164109757599,0.2961873802441871,0.5096
35132,dani1285,telu1262,0.8284313725490197,0.8226509772054911,21.160837,0.11947129563646608,0.33394324871330466,0.5354
35133,mace1250,telu1262,0.8137254901960784,0.8050043983415976,20.262314,0.12342727171328582,0.2977835392147833,0.6591
35134,panj1256,telu1262,0.7990196078431373,0.787262959886285,21.132872,0.06058023027889747,0.015340970430490986,0.4152
35135,zulu1248,telu1262,0.4166666666666667,0.3990195297950826,22.26195,0.13419743333869139,0.40999353252909687,0.5096
35136,afri1274,telu1262,0.8333333333333334,0.8320170445313185,22.660795,0.2322418843036197,0.4086491911900626,0.4867
35137,chha1249,telu1262,0.7794117647058824,0.7641171734219122,20.563396,0.15888439109212849,0.02057833715058601,0.3141
35138,bemb1257,telu1262,0.3382352941176471,0.3292135385603512,20.617422,0.1369363139347619,0.34657541912074163,0.5096
35139,hait1244,telu1262,0.3872549019607843,0.3997898492278504,23.495785,0.24227560214629384,0.7141135593620135,0.5096
35140,ital1282,telu1262,0.8725490196078431,0.8681142252862359,20.908434,0.1137851351065422,0.3402463526153563,0.5096
35141,bugi1244,telu1262,0.5441176470588235,0.5402720760411613,19.663515,0.11962406921249535,0.24744958278368373,0.5096
35142,luok1236,telu1262,0.2647058823529412,0.2580334831235191,24.588175,0.13037873630186203,0.2596448806669774,0.5096
35143,maga1260,telu1262,0.7941176470588235,0.7851382007918511,22.582012,0.0936049013482011,0.00179462270180075,0.3141
35144,nuer1246,telu1262,0.142156862745098,0.1230750500490471,20.448397,0.10906630952385521,0.2697779013995588,0.5096
35145,poli1260,telu1262,0.8431372549019608,0.8291919064038878,22.213308,0.13000839140305076,0.30562080541566833,0.5096
35146,tami1289,telu1262,0.8382352941176471,0.8140042384873779,14.303507,0.049242269391915006,0.011831763967771289,0.3649
35147,finn1318,telu1262,0.8480392156862745,0.8288642289527325,21.037395,0.10056512198726042,0.3010585926973496,0.5096
35148,shan1277,telu1262,0.2058823529411764,0.1480428207493631,23.20374,0.1432119507801668,0.08973992224995159,0.4646
35149,sout3123,telu1262,0.8088235294117647,0.8077388531170043,21.820059,0.12419877455781203,0.21692946464979376,0.409
35150,sind1272,telu1262,0.7352941176470589,0.7226736100421113,21.134876,0.07166519859708154,0.06079226256926851,0.3918
35151,dari1249,telu1262,0.8627450980392157,0.862643431300479,22.624496,0.15878339294952126,0.09042456619423257,0.409
35152,turk1304,telu1262,0.4558823529411764,0.424184125671157,20.372898,0.08121956734917835,0.12855347340380177,0.4867
35153,taga1270,telu1262,0.7990196078431373,0.7807664061745587,20.652653,0.12662072954896098,0.2631062379331815,0.4404
35154,banj1239,telu1262,0.1372549019607843,0.1093902905580569,22.427933,0.15888439109212849,0.24754576986635568,0.4867
35155,pedi1238,telu1262,0.2254901960784313,0.2090667291243479,20.965006,0.1370691563287404,0.4102946136727647,0.5096
35156,crim1257,telu1262,0.6862745098039216,0.6798004898159228,23.247158,0.08124549938776027,0.2094512008478074,0.5096
35157,laoo1244,telu1262,0.8333333333333334,0.8223959374063881,20.770987,0.13637748913802872,0.14481480552523804,0.439
35158,awad1243,telu1262,0.8088235294117647,0.7964426144898332,20.815569,0.06266168860623633,0.007943351074914182,0.3141
35159,cebu1242,telu1262,0.7107843137254902,0.6977765315212192,20.609253,0.13475046726517015,0.23746176922268197,0.5096
35160,sout2649,telu1262,0.7794117647058824,0.7722289938682192,21.487015,0.09541677508368807,0.08080094108864135,0.409
35161,faro1244,telu1262,0.696078431372549,0.6937709774643039,25.662924,0.11490086743619987,0.36526674994160757,0.5354
35162,tuni1259,telu1262,0.7745098039215687,0.7629144855362574,20.075686,0.15462510857742096,0.34264189925850974,0.4867
35163,kash1277,telu1262,0.5784313725490197,0.6039251904702356,20.950714,0.06575618036417596,0.0029607114354864737,0.4359
35164,serb1264,telu1262,0.8284313725490197,0.8132035036236716,25.32727,0.11047107865286643,0.29655527121962455,0.5096
35166,moro1292,telu1262,0.7941176470588235,0.7817416970911281,20.72033,0.13746921666181644,0.41588438960232055,0.409
35167,gali1258,telu1262,0.8431372549019608,0.8318802612661905,25.383852,0.1205113448776719,0.39289844888334763,0.5096
35168,gand1255,telu1262,0.3137254901960784,0.3059055942528489,21.697947,0.13983516343913294,0.2824415755718828,0.4867
35169,nucl1301,telu1262,0.8480392156862745,0.841947045760233,20.49601,0.10042083327406637,0.23272490097555898,0.5096
35170,dzon1239,telu1262,0.2009803921568627,0.0730781201369436,23.06788,0.1022170263121257,0.05858769624670654,0.5096
35171,roma1327,telu1262,0.8480392156862745,0.8448390680237576,20.431261,0.11310683409919775,0.2745450304811121,0.5096
35172,pang1290,telu1262,0.6421568627450981,0.62789032167694,24.80708,0.12914764344083451,0.23676164107924555,0.5096
35173,hind1269,telu1262,0.8088235294117647,0.801410865561809,22.077131,0.07299945102111016,0.0008311847735826705,0.3918
35174,cent1989,telu1262,0.7745098039215687,0.7739285381895945,21.897552,0.12580932800386369,0.15169069907984992,0.4601
35176,norw1262,telu1262,0.8088235294117647,0.8002040366483244,25.470182,0.10688895854353031,0.3405249749047187,0.5096
35177,tswa1253,telu1262,0.25,0.2432676781404621,20.950863,0.1385997600709521,0.4082856492865965,0.5096
35178,east2282,telu1262,0.7352941176470589,0.7253637186306573,24.589275,0.09921998030101298,0.28939986015397845,0.5096
35179,nort2690,telu1262,0.8137254901960784,0.7980855376581749,25.411238,0.07572181208381579,0.12978989617767847,0.5096
35180,swat1243,telu1262,0.2892156862745098,0.2840440990305012,23.179113,0.10703195796292486,0.4033989366092631,0.5096
35181,iris1253,telu1262,0.6519607843137255,0.6251745140024214,21.148186,0.11420158580444684,0.39534610392074226,0.5354
35182,akan1250,telu1262,0.2990196078431372,0.3073143655496596,20.05001,0.12652666870580498,0.4365715161933286,0.4867
35183,taji1245,telu1262,0.3676470588235294,0.3423257768968337,21.494,0.10334273128319205,0.10461318612416629,0.4867
35184,tumb1250,telu1262,0.2401960784313725,0.2272971795623298,19.888138,0.15888439109212849,0.32534014817061996,0.5096
35185,nucl1643,telu1262,0.8578431372549019,0.8542407758259627,17.323233,0.09894484071258969,0.2891224380253097,0.5933
35187,nige1253,telu1262,0.3333333333333333,0.3320168407186541,21.339687,0.13425690334871143,0.38635692797584736,0.4867
35188,russ1263,telu1262,0.8235294117647058,0.814781645918704,19.617178,0.1195237044477806,0.22683494157437695,0.6591
35189,sant1410,telu1262,0.1176470588235294,0.0306122448979591,21.472694,0.07763982514524359,0.0038502544487191495,0.3918
35190,sile1253,telu1262,0.7205882352941176,0.7061744520860982,25.321636,0.15888439109212849,0.30857598396015784,0.5096
35191,kabi1261,telu1262,0.2892156862745098,0.2453113497937025,21.930828,0.10632093037675017,0.42492275583306294,0.5096
35192,nucl1305,telu1262,0.8186274509803921,0.8117683534545552,14.126569,0.040908491283865756,0.001363154670763756,0.2468
35194,hebr1245,telu1262,0.8333333333333334,0.8233056017422682,21.635492,0.13045503158308114,0.24215044481229225,0.4601
35195,mala1464,telu1262,0.7843137254901961,0.766911371290089,14.218422,0.059306055584412154,0.004456555154527851,0.3918
35196,rund1242,telu1262,0.2254901960784313,0.2263789943718966,25.081728,0.11727621779518371,0.30698920841759164,0.5096
35197,tson1249,telu1262,0.2990196078431372,0.3080810554767807,21.649126,0.12962480642650986,0.38314722685023295,0.5096
35200,assa1263,telu1262,0.7058823529411765,0.7010823388027035,22.51342,0.0632830368407391,0.0017372075467833553,0.3548
35201,nort2697,telu1262,0.8284313725490197,0.8224468393760517,19.499062,0.08502409477511308,0.14724725793477658,0.641
35202,haus1257,telu1262,0.6372549019607843,0.6254072592999487,19.628489,0.1388894004422172,0.3819543314233865,0.4867
35203,stan1325,telu1262,0.8480392156862745,0.8450554305332094,25.362503,0.09921998030101298,0.29116950670939223,0.5096
35204,astu1245,telu1262,0.803921568627451,0.8021512042608637,21.048624,0.15888439109212849,0.39313909349575354,0.5096
35205,sout2832,telu1262,0.3235294117647059,0.321896385311436,20.334955,0.13521391545986716,0.28619921648963165,0.409
35206,tata1255,telu1262,0.6029411764705882,0.5836741473619684,22.023397,0.07907905179175656,0.21701435640130246,0.4867
35208,swah1253,telu1262,0.7745098039215687,0.7651099755003725,21.177347,0.12979638006583472,0.2827750367423092,0.409
35209,kaza1248,telu1262,0.8088235294117647,0.7904459928285729,22.033733,0.14225843550473416,0.15050321042535741,0.4867
35210,bulg1262,telu1262,0.8529411764705882,0.8468185294031085,20.019869,0.11436317259657458,0.27154443769045633,0.5096
35211,kaby1243,telu1262,0.1519607843137254,0.1269722814498934,20.962019,0.14605044314383397,0.37969927611996607,0.5062
35212,slov1269,telu1262,0.8333333333333334,0.825359631979927,24.246819,0.15888439109212849,0.30327561418150945,0.5096
35213,thai1261,telu1262,0.8382352941176471,0.8270555823004389,22.818136,0.13113149765613552,0.1205052940889297,0.5829
35214,stan1306,telu1262,0.8480392156862745,0.8389852882372494,24.490767,0.1361722711040414,0.20677596335754198,0.641
35216,luba1249,telu1262,0.3039215686274509,0.3176628882854327,22.244886,0.12144303654948341,0.3495224088092537,0.5096
35217,cent2194,telu1262,0.142156862745098,0.0832976927773189,21.91111,0.12928645662844496,0.4263886433186476,0.5062
35218,umbu1257,telu1262,0.25,0.225993256339182,22.03235,0.14089229235051304,0.4060452337608338,0.5096
