model,method,held_out_task,dataset,performance_col,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,n_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,ndcg@3,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
xlm-r,random,sib200,sib200,f1_score,sib200::azb,azb,lrl,ron,mrl,war,lrl,0.665087294014954,0.7241846949921484,0.08160542660713802,0.0,0.0,0.0,175,6,2,1096,159,0.01282051282051282,78.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::azj,azj,lrl,gle,lrl,bel,mrl,0.6577666792184338,0.8676284358002917,0.24187975857232427,0.0,0.0,0.0,175,6,2,1096,159,0.007042253521126761,142.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01004568171207022,0.1,0.1,1.0,0.01111111111111111,0.00010850694444444444,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::bak,bak,lrl,kmb,lrl,kea,lrl,0.0468384074941451,0.6688989020367263,0.929976850983718,0.2564967828862255,0.0,0.0,175,6,2,1096,159,0.007194244604316547,139.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2564967828862255,0.3333333333333333,0.1,1.0,0.16666666666666666,0.12451171875,0.0,0.2017827428242936,0.2,0.1,1.0,0.1,0.12451171875,0.0,0.1684382175423759,0.1,0.1,1.0,0.05,0.12451171875,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::bam,bam,lrl,fra,hrl,ilo,lrl,0.3006536702333071,0.3568445748205238,0.15746604699112524,0.0,0.0,0.0,175,6,2,1096,159,0.030303030303030304,33.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::ban,ban,lrl,fon,lrl,ilo,lrl,0.2228218694885362,0.7639040909099428,0.7083117211440555,0.0,0.0,0.0,175,6,2,1096,159,0.02127659574468085,47.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::bel,bel,mrl,eus,mrl,prs,lrl,0.8135662072900695,0.8701665084544394,0.06504536846045883,0.0,0.0,0.0,175,6,2,1096,159,0.008547008547008548,117.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::bem,bem,lrl,fon,lrl,war,lrl,0.1764455782312925,0.4567790230561938,0.613717860661071,0.0,0.0,0.0,175,6,2,1096,159,0.03225806451612903,31.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::ben,ben,mrl,ltz,lrl,urd,mrl,0.6745969763159179,0.8253818073567223,0.18268494616290548,0.0,0.0,0.0,175,6,2,1096,159,0.005813953488372093,172.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::bho,bho,lrl,tso,lrl,mai,lrl,0.1252531546969933,0.7892247273325602,0.8412959574640714,0.28855888074700375,0.0,0.0,175,6,2,1096,159,0.011764705882352941,85.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28855888074700375,0.3333333333333333,0.1,1.0,0.16666666666666666,0.24951171875,0.0,0.2270055856773303,0.2,0.1,1.0,0.1,0.24951171875,0.0,0.1894929947351729,0.1,0.1,1.0,0.05,0.24951171875,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::bjn,bjn,lrl,plt,lrl,sun,lrl,0.4345663453372964,0.7355482711000049,0.40919398167110516,0.0,0.0,0.0,175,6,2,1096,159,0.013157894736842105,76.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08608634387014705,0.2,0.1,1.0,0.05,0.007568359375,0.0,0.07186060667662732,0.1,0.1,1.0,0.025,0.007568359375,0.0
