model,method,held_out_task,performance_col,n_queries,mean_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
mt5,composite_equal,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,30.907767598273615,34.67913339702635,7.874015748031496,15.485564304461944,18.53586888982353,12.908136482939632,41.45669291338582,10.0,38.083989501312345,63.77952755905512,6.377952755905511,63.77952755905512,63.77952755905512,15.335363353018373,7.874015748031496,45.58180227471566,13.674540682414701,88.9763779527559,38.84514435695538,20.727611166544825,15.485564304461944,30.732620044032654,42.30971128608923,21.154855643044616,96.06299212598425,31.770341207349084,23.077666343373483,22.30971128608924,37.330882767814565,41.45669291338582,41.45669291338582,99.86876640419948,25.55916968712244,26.22960563013912,41.20734908136483
mt5,rrf_equal,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,30.82915776128015,35.85514089370435,7.874015748031496,14.829396325459317,17.286037332416317,15.393700787401574,38.34645669291339,10.0,36.61417322834646,60.76115485564304,6.076115485564304,60.76115485564304,60.76115485564304,15.012790149278215,7.874015748031496,46.19422572178477,13.858267716535433,86.74540682414698,39.348206474190725,20.12854643200287,14.829396325459317,29.948037631728468,41.86351706036746,20.93175853018373,95.8005249343832,31.39107611548556,21.903445547735124,19.028871391076116,34.96225213394051,38.34645669291339,38.34645669291339,99.73753280839895,23.65921447319085,24.79993455688548,34.90813648293963
mt5,mlp_listnet,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,26.03748323003706,43.40551193084435,5.380577427821522,13.385826771653544,15.432604094430161,15.208661417322835,35.91863517060368,10.0,27.624671916010502,47.76902887139108,4.776902887139108,47.76902887139108,47.76902887139108,10.50894028871391,5.380577427821522,40.15748031496063,12.04724409448819,79.79002624671917,32.14494021580635,16.440016940302904,13.385826771653544,26.201804646996774,37.42782152230972,18.71391076115486,90.41994750656168,26.390638670166233,18.461663376336475,19.94750656167979,31.644289266981506,35.91863517060368,35.91863517060368,99.73753280839895,20.517216597925263,21.222216277367163,34.645669291338585
mt5,single_new_geo,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,23.222620274232348,48.308428331909795,5.118110236220472,12.860892388451445,15.959377122924367,15.371391076115486,35.72178477690289,10.0,23.85826771653543,38.4514435695538,3.8451443569553803,38.4514435695538,38.4514435695538,9.881864132217848,5.118110236220472,36.61417322834646,10.984251968503937,80.70866141732283,26.655001458151062,15.607842019973415,12.860892388451445,25.067192175401498,36.06299212598426,18.03149606299213,91.0761154855643,23.806649168853895,18.24703199418668,21.128608923884514,31.411016515733664,35.72178477690289,35.72178477690289,99.34383202099738,19.345435987168273,21.220584597249452,38.05774278215223
mt5,random,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,23.404706088173295,49.25760850324013,3.149606299212598,14.566929133858267,14.587214497985743,13.46719160104987,36.40419947506561,10.0,17.086614173228345,31.36482939632546,3.1364829396325464,31.36482939632546,31.36482939632546,6.407762262139108,3.149606299212598,40.28871391076115,12.086614173228348,80.5774278215223,28.543307086614174,13.602376417098005,14.566929133858267,23.55769826588132,36.955380577427825,18.477690288713912,92.78215223097112,23.249343832020998,15.26470821939498,18.89763779527559,31.105482572417774,36.40419947506561,36.40419947506561,99.60629921259843,19.64451318585177,19.23345650281036,41.732283464566926
mt5,single_script,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,26.465210472225408,49.925314466613194,1.574803149606299,21.391076115485564,16.916566917146284,11.675853018372704,41.35170603674541,10.0,24.695518829377097,28.608923884514436,2.8608923884514437,28.608923884514436,28.608923884514436,4.239203986220472,1.574803149606299,50.743657042869636,15.223097112860895,93.1758530183727,35.0029163021289,18.217887401610145,21.391076115485564,28.72242693047435,43.254593175853024,21.627296587926512,97.76902887139107,28.055555555555557,21.047382924301658,30.446194225721783,36.70719154992401,41.35170603674541,41.35170603674541,99.86876640419948,23.495417239511728,22.77905851637694,38.4514435695538
mt5,lightgbm_lambdarank,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,18.679062752955506,51.73556341829786,2.2309711286089238,9.580052493438322,12.4741564935271,15.751968503937007,31.69291338582677,10.0,15.971128608923882,30.708661417322837,3.0708661417322833,30.708661417322837,30.708661417322837,4.877686187664041,2.2309711286089238,31.146106736657913,9.343832020997375,71.5223097112861,21.857684456109652,10.763251279991639,9.580052493438322,20.675192558131517,32.125984251968504,16.062992125984252,90.15748031496062,19.031933508311464,13.387099376209907,16.666666666666664,26.285766101618417,31.69291338582677,31.69291338582677,99.08136482939632,15.515321001541475,16.256740929770046,30.839895013123357
mt5,single_distals_wiki_size,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,18.72589433984253,53.744059723295464,1.574803149606299,11.548556430446194,13.319977166362495,15.465879265091864,32.07349081364829,10.0,17.245324803149607,18.37270341207349,1.837270341207349,18.37270341207349,18.37270341207349,3.101418963254593,1.574803149606299,33.37707786526684,10.013123359580051,76.37795275590551,19.7360746573345,10.191310581214212,11.548556430446194,20.478045134560556,36.8241469816273,18.41207349081365,97.11286089238845,19.755030621172356,14.767112645101784,24.93438320209974,26.262046962106478,32.07349081364829,32.07349081364829,99.60629921259843,15.16178706828313,17.119468567549756,37.664041994750654
mt5,single_new_typ,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,15.029944878206509,54.29497977052669,1.1811023622047243,3.805774278215223,9.274600977825449,18.625984251968504,34.645669291338585,10.0,11.863517060367455,26.246719160104988,2.6246719160104988,26.246719160104988,26.246719160104988,2.8502296587926508,1.1811023622047243,30.446194225721783,9.133858267716535,74.54068241469817,20.880723242927964,5.657912187819302,3.805774278215223,18.842897669872258,33.56955380577428,16.78477690288714,93.7007874015748,19.398512685914262,8.622512300303997,10.236220472440944,26.16459872206422,34.645669291338585,34.645669291338585,99.60629921259843,17.036313169187185,12.328426983229832,25.853018372703414
mt5,single_distals_asjp,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,16.91974417599554,55.61386762035412,2.099737532808399,8.267716535433072,11.275526486556236,17.16010498687664,29.92125984251969,10.0,13.83202099737533,24.671916010498688,2.4671916010498696,24.671916010498688,24.671916010498688,5.178344406167979,2.099737532808399,28.871391076115486,8.661417322834646,65.61679790026247,19.7360746573345,9.982015381136149,8.267716535433072,18.566666151357136,29.133858267716533,14.566929133858267,83.59580052493439,17.0411198600175,12.106368330746394,13.517060367454068,24.345992276903665,29.92125984251969,29.92125984251969,99.08136482939632,14.095404741074033,14.857694976333047,27.559055118110237
mt5,single_new_gen,taxi1500,f1_score,762,31.95800524934383,6,2,289,329,10.178440007011487,58.411614334962096,0.5249343832020997,4.199475065616798,10.51356916426342,15.32283464566929,32.034120734908136,10.0,8.700787401574804,17.585301837270343,1.7585301837270344,17.585301837270343,17.585301837270343,2.6503034776902887,0.5249343832020997,19.335083114610672,5.800524934383203,43.832020997375324,13.378536016331294,5.201083734877609,4.199475065616798,16.604666888401816,29.291338582677167,14.645669291338583,89.89501312335958,14.466754155730536,9.775178152978611,16.27296587926509,24.226140493992354,32.034120734908136,32.034120734908136,99.86876640419948,13.603455818022747,13.29468532357775,35.30183727034121
