model,method,held_out_task,dataset,performance_col,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,n_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,ndcg@3,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bbb,bbb,lrl,ron,mrl,nld,mrl,0.1285714285714285,0.2064996368917937,0.37737697505589207,0.23978042100429625,0.0,1.0,32,6,2,289,329,0.3333333333333333,3.0,0.3,10.0,0.22142857142857145,1.0,0.1,1.0,1.0,0.0146484375,0.0,0.23978042100429625,1.0,0.3,1.0,1.0,0.38375401962548494,1.0,0.2610007734488997,0.6,0.3,1.0,0.6,0.38375401962548494,1.0,0.3357372307081928,0.3,0.3,1.0,0.3,0.38375401962548494,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bbr,bbr,lrl,por,mrl,spa,hrl,0.1164927968206656,0.1597192549336118,0.2706402439136942,0.3325986484898303,0.0,1.0,32,6,2,289,329,0.3333333333333333,3.0,0.6,10.0,0.30714285714285716,1.0,0.1,1.0,1.0,0.0146484375,0.0,0.3325986484898303,0.6666666666666666,0.2,1.0,0.5555555555555555,0.34277820587158203,1.0,0.3620333309129899,0.6,0.3,1.0,0.4833333333333333,0.34277891064994037,1.0,0.46570002969200935,0.6,0.6,1.0,0.4279761904761905,0.34286724412048986,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bch,bch,lrl,por,mrl,ita,mrl,0.0852644087938205,0.3055237285247175,0.7209237750352918,0.21657586413291272,0.0,0.0,32,6,2,289,329,0.1,10.0,0.3,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.21657586413291272,0.3333333333333333,0.1,1.0,0.16666666666666666,0.06201171875,0.0,0.23574263408287713,0.4,0.2,1.0,0.2,0.0626533031463623,0.0,0.30324653096223864,0.3,0.3,1.0,0.13,0.14990903167054057,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bco,bco,lrl,por,mrl,nld,mrl,0.0787037037037037,0.1958511507265279,0.5981453087625727,0.25525012558521853,0.0,0.0,32,6,2,289,329,0.2,5.0,0.4,10.0,0.2357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.25525012558521853,0.3333333333333333,0.1,1.0,0.1111111111111111,0.0830078125,0.0,0.2778395330262481,0.4,0.2,1.0,0.14666666666666667,0.2330564498901367,1.0,0.3573976972054955,0.4,0.4,1.0,0.15619047619047616,0.23306963177857531,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bdd,bdd,lrl,ron,mrl,swe,mrl,0.1157806513409961,0.2361111111111111,0.5096348884381341,0.16243189809968453,0.0,0.0,32,6,2,289,329,0.06666666666666667,15.0,0.3,10.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.16243189809968453,0.0,0.0,0.0,0.0,0.0,0.0,0.17680697556215785,0.0,0.0,0.0,0.0,0.0,0.0,0.22743489822167898,0.3,0.3,1.0,0.07166666666666666,0.006061654320607583,0.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bef,bef,lrl,ron,mrl,tha,mrl,0.0564290705800139,0.1979102653054481,0.7148754740289841,0.2011061595519904,0.0,0.0,32,6,2,289,329,0.03225806451612903,31.0,0.4,10.0,0.18571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.2011061595519904,0.3333333333333333,0.1,1.0,0.16666666666666666,0.03076171875,0.0,0.21890387450552876,0.4,0.2,1.0,0.18,0.05404033660888672,0.0,0.28158606446493584,0.4,0.4,1.0,0.18285714285714288,0.05645283028374836,0.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::ben,ben,mrl,tam,mrl,urd,mrl,0.6323502815642775,0.7009521359726558,0.09786952758648053,0.6497275923987381,0.0,1.0,31,6,2,289,329,0.3333333333333333,3.0,0.4,10.0,0.4,1.0,0.1,1.0,1.0,0.0146484375,0.0,0.6497275923987381,1.0,0.3,1.0,1.0,0.3529016422107816,1.0,0.5111323978710324,0.6,0.3,1.0,0.6,0.3529016422107816,1.0,0.49419269557583645,0.4,0.4,1.0,0.33999999999999997,0.35291284222175817,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::beo,beo,lrl,ron,mrl,nld,mrl,0.1259661835748792,0.2292559757747095,0.450543510810525,0.23204556871383503,0.0,1.0,32,6,2,289,329,0.3333333333333333,3.0,0.3,10.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.23204556871383503,0.3333333333333333,0.1,1.0,0.1111111111111111,0.3330078125,1.0,0.2525813936602255,0.2,0.1,1.0,0.06666666666666667,0.3330078125,1.0,0.3249069974595414,0.3,0.3,1.0,0.09166666666666665,0.333011445382403,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bfz,bfz,lrl,ben,mrl,hin,mrl,0.2457114278569642,0.4662513775006021,0.4730065374302365,0.5492984812248165,0.0,1.0,32,6,2,289,329,0.5,2.0,0.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5492984812248165,0.6666666666666666,0.2,1.0,0.38888888888888884,0.49967416127522785,1.0,0.4321260989067731,0.4,0.2,1.0,0.2333333333333333,0.49967416127522785,1.0,0.43815902284719405,0.3,0.3,1.0,0.16666666666666666,0.49967662974571186,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bgc,bgc,lrl,ben,mrl,jpn,hrl,0.2907281042874263,0.5216965574108431,0.442725660812682,0.41560193775646737,0.0,0.0,32,6,2,289,329,0.034482758620689655,29.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41560193775646737,0.6666666666666666,0.2,1.0,0.38888888888888884,0.25456714630126953,0.0,0.3958178109825624,0.6,0.3,1.0,0.3833333333333333,0.25634623668156564,0.0,0.3516281732235335,0.5,0.5,1.0,0.29166666666666663,0.2565447764012231,0.0
