method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon,task_key,model_key,task,model
single_new_gen,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_new_gen,lrl,140,36.75,42.0,26.0,45.0,176.0,20.88068181818182,92.85714285714286,2.184420483744325,47.85714285714286,4.237048113266934,28.0,28.0,28.0,9,100.0,0.0,1.249408775567337,0.1,0.05,sib200,mt5,SIB-200,mT5
single_new_geo,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_new_geo,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_new_geo,lrl,140,29.942857142857143,26.0,14.0,42.0,176.0,17.01298701298702,90.0,2.5445667890399126,47.85714285714286,4.237048113266934,28.0,28.0,28.0,9,100.0,0.0,1.3733220314935497,0.1,0.05,sib200,mt5,SIB-200,mT5
single_new_typ,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_new_typ,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_new_typ,lrl,140,26.9,29.0,13.0,42.0,176.0,15.284090909090912,88.57142857142857,2.698580626068047,40.0,4.155260166386662,28.0,28.0,28.0,9,100.0,0.0,1.7870479263071646,0.1,0.05,sib200,mt5,SIB-200,mT5
single_script,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_script,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_script,lrl,140,31.257142857142856,32.0,25.0,34.0,176.0,17.759740259740262,84.28571428571429,3.086859823146824,35.0,4.045603351148027,28.0,28.0,28.0,9,100.0,0.0,2.3899949307492863,0.1,0.05,sib200,mt5,SIB-200,mT5
composite_equal,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,taxi1500,xlm-r,Taxi1500,XLM-R
