task,model,method,resource_level,n_folds,mean_trial_complexity,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,mean_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_pool_fraction_pct
UD-POS,mT5,composite_equal,lrl,101,39.08910891089109,87.12871287128714,3.3488187178787645,20.0,9,100.0,0.0,53.54672453546726
UD-POS,mT5,lightgbm_lambdarank,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,lightgbm_lambdarank,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,mT5,lightgbm_lambdarank,lrl,101,33.04950495049505,89.10891089108911,3.115273806445995,20.0,9,100.0,0.0,45.27329445273294
UD-POS,mT5,mlp_listnet,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,mlp_listnet,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,mT5,mlp_listnet,lrl,101,35.28712871287129,85.14851485148515,3.5560960388253413,20.0,9,100.0,0.0,48.33853248338531
UD-POS,mT5,rrf_equal,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,rrf_equal,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,mT5,rrf_equal,lrl,101,27.45544554455445,83.16831683168317,3.741473985681423,20.0,9,100.0,0.0,37.61019937610202
UD-POS,mT5,single_distals_asjp,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,single_distals_asjp,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,mT5,single_distals_asjp,lrl,101,50.148514851485146,88.11881188118812,3.2356702254194443,20.0,9,100.0,0.0,68.69659568696599
UD-POS,mT5,single_distals_wiki_size,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,single_distals_wiki_size,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,mT5,single_distals_wiki_size,lrl,101,62.23762376237624,93.06930693069307,2.539753532352606,20.0,9,100.0,0.0,85.25701885257018
UD-POS,mT5,single_new_gen,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,single_new_gen,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,mT5,single_new_gen,lrl,101,34.35643564356435,81.1881188118812,3.908070169503079,20.0,9,100.0,0.0,47.06361047063611
UD-POS,mT5,single_new_geo,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,single_new_geo,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,mT5,single_new_geo,lrl,101,36.3960396039604,93.06930693069307,2.539753532352606,20.0,9,100.0,0.0,49.85758849857589
UD-POS,mT5,single_new_typ,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,single_new_typ,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,mT5,single_new_typ,lrl,101,40.96039603960397,92.07920792079209,2.7006300390071005,20.0,9,100.0,0.0,56.110131561101305
UD-POS,mT5,single_script,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,single_script,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,mT5,single_script,lrl,101,66.52475247524752,97.02970297029702,1.697666158364579,20.0,9,100.0,0.0,91.129797911298
