model,model_name,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value,source_artifact
xlm-r,XLM-R,paired_target_queries,single_new_gen,single_new_geo,1.5640530217984065e-37,3.68031601521102e-41,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_gen,single_script,0.7038301745333141,0.5607038694659582,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_gen,single_distals_asjp,2.1570942735595428e-11,1.3431612595840182e-15,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_gen,single_distals_wiki_size,7.411951957197151e-11,1.6900093569439456e-07,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_gen,composite_equal,3.486734480495628e-90,2.639721854902151e-106,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_gen,rrf_equal,3.1628219144290687e-74,1.4595173902055825e-87,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_gen,lightgbm_lambdarank,3.9110977377210786e-42,6.538708356222822e-50,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_gen,mlp_listnet,2.505706016583025e-62,1.017957808301062e-79,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_typ,single_new_geo,1.864347115596388e-05,0.0007934358534912,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_typ,single_script,6.916285838079364e-33,8.14795731295082e-27,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_typ,single_distals_asjp,6.69699617492613e-06,6.062556334849418e-07,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_typ,single_distals_wiki_size,3.573078408118688e-78,9.15853135239591e-50,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_typ,composite_equal,2.276481846776609e-24,5.604081969617862e-35,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_typ,rrf_equal,3.7363491721419066e-17,3.0940467597152924e-22,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_typ,lightgbm_lambdarank,0.1647521901629593,0.1748541715199341,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_typ,mlp_listnet,9.706276790194424e-09,3.738260460775037e-15,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_geo,single_script,1.212148791303272e-58,1.5895715837953296e-42,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_geo,single_distals_asjp,6.598439042305573e-17,1.0923394113775648e-16,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_geo,single_distals_wiki_size,4.0124879710086257e-100,1.3110238754396866e-65,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_geo,composite_equal,5.374845864598988e-12,1.0262606504160824e-22,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_geo,rrf_equal,3.7697491412767353e-06,7.359266500661761e-12,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_geo,lightgbm_lambdarank,0.0081318577977992,0.0281486097100038,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_geo,mlp_listnet,0.1052762842363436,1.4209368881619148e-05,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_script,single_distals_asjp,3.76957437850311e-08,5.979817694141182e-12,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_script,single_distals_wiki_size,1.896193913069747e-30,3.234638379662203e-06,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_script,composite_equal,1.0863774123746955e-103,4.732541608932184e-97,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_script,rrf_equal,8.48164452666805e-87,8.491971915115695e-81,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_script,lightgbm_lambdarank,4.296818791250941e-31,3.902461440801193e-40,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_script,mlp_listnet,5.952652289827551e-61,1.4187267145668937e-69,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_distals_asjp,single_distals_wiki_size,4.060872467973006e-29,1.0859362687242994e-26,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_distals_asjp,composite_equal,2.346141573638954e-59,9.40163935948052e-71,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_distals_asjp,rrf_equal,1.055283684637855e-45,1.85063402442692e-52,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_distals_asjp,lightgbm_lambdarank,3.4928758310342764e-14,7.35084372705482e-15,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_distals_asjp,mlp_listnet,7.501234290384645e-45,6.45782037394498e-50,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_distals_wiki_size,composite_equal,1.9097406725521804e-136,3.221353895373967e-126,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_distals_wiki_size,rrf_equal,8.350825019293644e-117,1.468010583137785e-109,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_distals_wiki_size,lightgbm_lambdarank,3.0434819215745534e-59,4.609163134723389e-65,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_distals_wiki_size,mlp_listnet,3.094712351020649e-88,5.530338141985821e-95,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,composite_equal,rrf_equal,0.0002931433280798,1.8106150797205884e-07,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,composite_equal,lightgbm_lambdarank,3.5964677734295673e-23,1.2079206517696881e-34,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,composite_equal,mlp_listnet,4.1036086792801974e-13,3.2521930278854275e-15,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,rrf_equal,lightgbm_lambdarank,1.5330145380885322e-16,2.7100609229799424e-22,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,rrf_equal,mlp_listnet,1.3783805874713673e-05,0.0001466616229479,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,lightgbm_lambdarank,mlp_listnet,2.0153111763596437e-08,6.369390674232496e-15,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
