dataset,task,model,metric,method,method_group,target_resource_level,n_targets,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,large_enough_for_main_ctc
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_gen,individual,mrl,42,136.11904761904762,0.7778231292517008,1.0,0.8571428571428571,0.0011247858209776976,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_geo,individual,hrl,7,135.42857142857142,0.7738775510204082,0.8571428571428571,0.5714285714285714,0.01644594601370207,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_geo,individual,lrl,136,150.63235294117646,0.860427091291062,0.9117647058823529,0.75,0.012162923235291626,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_geo,individual,mrl,42,147.92857142857142,0.8453061224489796,1.0,0.9285714285714286,0.0008962171662778617,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_typ,individual,hrl,7,73.57142857142857,0.4204081632653061,1.0,0.7142857142857143,0.0013327389597159144,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_typ,individual,lrl,136,80.79411764705883,0.46148562834224593,0.9044117647058824,0.4852941176470588,0.01814181687014605,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_typ,individual,mrl,42,78.16666666666667,0.4466666666666666,1.0,0.5952380952380952,0.004936936019768643,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_script,individual,hrl,7,75.14285714285714,0.42938775510204075,0.8571428571428571,0.14285714285714285,0.018252187040638357,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_script,individual,lrl,136,78.54411764705883,0.44864471925133687,0.9558823529411765,0.5955882352941176,0.010924286577557731,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_script,individual,mrl,42,79.52380952380952,0.45442176870748296,1.0,0.42857142857142855,0.006863025405047983,True
taxi1500_mt5,taxi1500,mt5,f1_score,composite_equal,composite,hrl,8,23.375,0.7483618951612903,1.0,0.875,0.0030077757431695626,True
taxi1500_mt5,taxi1500,mt5,f1_score,composite_equal,composite,lrl,726,23.241046831955924,0.726311872389585,0.918732782369146,0.8898071625344353,0.010743360214440228,True
taxi1500_mt5,taxi1500,mt5,f1_score,composite_equal,composite,mrl,28,23.25,0.7475878456221199,1.0,0.8571428571428571,0.003837801693689086,True
taxi1500_mt5,taxi1500,mt5,f1_score,lightgbm_lambdarank,trained,hrl,8,10.5,0.3360635080645161,0.75,0.5,0.032847800117985285,True
taxi1500_mt5,taxi1500,mt5,f1_score,lightgbm_lambdarank,trained,lrl,726,10.512396694214877,0.32852628188038746,0.9214876033057852,0.8829201101928374,0.010931440118813356,True
taxi1500_mt5,taxi1500,mt5,f1_score,lightgbm_lambdarank,trained,mrl,28,10.428571428571429,0.33528945852534564,0.7857142857142857,0.5,0.024242091831708244,True
taxi1500_mt5,taxi1500,mt5,f1_score,mlp_listnet,trained,hrl,8,11.875,0.38016633064516125,0.875,0.5,0.025296540450648275,True
taxi1500_mt5,taxi1500,mt5,f1_score,mlp_listnet,trained,lrl,726,12.214876033057852,0.38173153825646494,0.8925619834710744,0.8415977961432507,0.015915047351796108,True
taxi1500_mt5,taxi1500,mt5,f1_score,mlp_listnet,trained,mrl,28,12.321428571428571,0.3961333525345622,0.8928571428571429,0.6071428571428571,0.017392542738780426,True
taxi1500_mt5,taxi1500,mt5,f1_score,rrf_equal,composite,hrl,8,28.0,0.8964213709677419,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mt5,f1_score,rrf_equal,composite,lrl,726,27.889807162534435,0.8715925753132499,0.928374655647383,0.8953168044077136,0.009183229031221759,True
taxi1500_mt5,taxi1500,mt5,f1_score,rrf_equal,composite,mrl,28,27.928571428571427,0.8979694700460829,1.0,0.9285714285714286,0.00029287731281748213,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_asjp,individual,hrl,8,29.125,0.9320816532258065,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_asjp,individual,lrl,726,29.286501377410467,0.915244823602595,0.931129476584022,0.9008264462809917,0.01070792634126393,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_asjp,individual,mrl,28,29.464285714285715,0.9472566244239632,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_wiki_size,individual,hrl,8,30.5,0.9761844758064516,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_wiki_size,individual,lrl,726,30.46831955922865,0.9521766417844131,0.9035812672176309,0.8663911845730028,0.014439897487053339,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_wiki_size,individual,mrl,28,30.535714285714285,0.981746831797235,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_gen,individual,hrl,8,23.625,0.7561743951612903,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_gen,individual,lrl,726,23.600550964187327,0.7375491535590509,0.9338842975206612,0.8980716253443526,0.009339821277938636,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_gen,individual,mrl,28,23.5,0.7555083525345622,1.0,0.9285714285714286,0.0007348870161027286,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_geo,individual,hrl,8,29.625,0.9483366935483871,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_geo,individual,lrl,726,29.210743801652892,0.912874622322936,0.9380165289256198,0.9159779614325069,0.008538391097625574,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_geo,individual,mrl,28,29.25,0.9404521889400922,0.9285714285714286,0.9285714285714286,0.004100540318578679,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_typ,individual,hrl,8,27.875,0.8922631048387095,0.875,0.5,0.023307390655112788,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_typ,individual,lrl,726,27.925619834710744,0.8727144983559939,0.9242424242424242,0.8994490358126722,0.011340929552137318,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_typ,individual,mrl,28,27.928571428571427,0.8978974654377879,0.9642857142857143,0.8571428571428571,0.005888897687996207,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_script,individual,hrl,8,15.375,0.4920614919354839,0.875,0.75,0.019974449396157813,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_script,individual,lrl,726,15.257575757575758,0.4768200702035013,0.9118457300275482,0.8663911845730028,0.011823534076056888,True
taxi1500_mt5,taxi1500,mt5,f1_score,single_script,individual,mrl,28,15.142857142857142,0.48685915898617516,0.8571428571428571,0.6071428571428571,0.019869746988697357,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,composite_equal,composite,hrl,8,20.875,0.66796875,1.0,0.75,0.004944728680321713,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,composite_equal,composite,lrl,726,20.691460055096417,0.6466372856127255,0.9008264462809917,0.8622589531680441,0.015347635478735525,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,composite_equal,composite,mrl,28,20.535714285714285,0.6602102534562212,0.9642857142857143,0.7857142857142857,0.005669300228480054,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,lightgbm_lambdarank,trained,hrl,8,6.875,0.21988407258064513,1.0,0.375,0.0146012371270008,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,lightgbm_lambdarank,trained,lrl,726,7.023415977961433,0.2194928574602328,0.9118457300275482,0.8677685950413223,0.01518496920901643,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,lightgbm_lambdarank,trained,mrl,28,6.678571428571429,0.21468173963133638,0.6428571428571429,0.32142857142857145,0.03796193290409662,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,mlp_listnet,trained,hrl,8,19.0,0.6081149193548387,1.0,0.875,0.001524772950189925,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,mlp_listnet,trained,lrl,726,18.71625344352617,0.584905136408069,0.9269972451790633,0.8898071625344353,0.011259244852289163,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,mlp_listnet,trained,mrl,28,18.5,0.594830069124424,0.9285714285714286,0.75,0.010988369944542081,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,rrf_equal,composite,hrl,8,23.25,0.744077620967742,1.0,0.875,0.001524772950189925,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,rrf_equal,composite,lrl,726,23.435261707988982,0.7323838643028526,0.9035812672176309,0.8705234159779615,0.01590592449680215,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,rrf_equal,composite,mrl,28,23.357142857142858,0.7509720622119815,0.9642857142857143,0.8571428571428571,0.004610093638434864,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_asjp,individual,hrl,8,28.875,0.9241431451612904,1.0,1.0,0.0,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_asjp,individual,lrl,726,28.93388429752066,0.9042241513374211,0.9035812672176309,0.8787878787878788,0.022134303893026116,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_asjp,individual,mrl,28,28.928571428571427,0.9300475230414748,1.0,0.9642857142857143,0.0014367672869987499,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_wiki_size,individual,hrl,8,24.875,0.7961189516129032,1.0,0.875,0.001524772950189925,True
taxi1500_xlm-r,taxi1500,xlm-r,f1_score,single_distals_wiki_size,individual,lrl,726,24.87052341597796,0.7772385697147427,0.9559228650137741,0.9352617079889807,0.009258874606474655,True
