dataset,task,model,metric,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,mlp_listnet,single_distals_asjp,performance_loss_pct,-7.828770894986464,-16.248413858310773,0.30105920481348153,0.0597,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,mlp_listnet,single_distals_wiki_size,performance_loss_pct,-17.39605527339926,-28.31400711344213,-6.739938772652007,0.0012,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,mlp_listnet,single_new_gen,performance_loss_pct,-4.459089742674331,-10.883235786554568,1.9509018765781918,0.1731,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,mlp_listnet,single_new_geo,performance_loss_pct,-2.434531886121857,-8.05722494401161,3.459049805575461,0.3871,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,mlp_listnet,single_new_typ,performance_loss_pct,-13.18754427862171,-24.430102003141265,-2.7128253994322344,0.0099,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,mlp_listnet,single_script,performance_loss_pct,-12.905805333354104,-22.915699169475566,-3.9419437675297333,0.0032,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,rrf_equal,single_distals_asjp,performance_loss_pct,-2.673642786946878,-10.728018217299459,7.696657621040381,0.5234,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,rrf_equal,single_distals_wiki_size,performance_loss_pct,-12.240927165359674,-21.512091659615596,-3.105672348373361,0.0094,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,rrf_equal,single_new_gen,performance_loss_pct,0.6960383653652542,-8.153832749145776,11.560290306447595,0.9534,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,rrf_equal,single_new_geo,performance_loss_pct,2.720596221917728,-6.579852658087899,13.31925341345267,0.6296,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,rrf_equal,single_new_typ,performance_loss_pct,-8.032416170582124,-15.849532478725639,-0.847428220265673,0.0262,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,rrf_equal,single_script,performance_loss_pct,-7.75067722531452,-15.627774209069726,0.2505720956659101,0.0582,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_asjp,single_distals_wiki_size,performance_loss_pct,-9.567284378412795,-21.46928586286034,1.605007085990879,0.0933,19
