dataset,task,model,model_name,metric,metric_name,outcome,outcome_name,paradigm,expected_methods,observed_methods,missing_methods,n_targets_any_paradigm_method,n_complete_targets,complete_target_fraction
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,12,12,1.0
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,12,12,1.0
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,12,12,1.0
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,12,12,1.0
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,12,12,1.0
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,12,12,1.0
