dataset,task,model,metric,method,method_group,outcome,mean,ci_lower,ci_upper,n_units
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_wiki_size,individual,raw_oracle_gap_points,13.042877681970905,12.578323157042647,13.532306873872026,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_wiki_size,individual,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_wiki_size,individual,predicted_performance_points,13.227621590274373,12.393354391355256,14.132914664856129,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_gen,individual,performance_loss_pct,58.41161433496209,56.85836347187203,59.921544820530386,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_gen,individual,raw_oracle_gap_points,13.689543294298442,13.243293631297052,14.145599537529389,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_gen,individual,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_gen,individual,predicted_performance_points,12.58095597794684,11.625361962818504,13.598936603464098,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_geo,individual,performance_loss_pct,48.3084283319098,46.45644355395719,50.13513137657857,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_geo,individual,raw_oracle_gap_points,12.094877187914102,11.482242513326419,12.730797010291495,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_geo,individual,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_geo,individual,predicted_performance_points,14.175622084331179,13.287115370847674,15.082983078314468,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_typ,individual,performance_loss_pct,54.29497977052669,52.84480776855669,55.74843667829915,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_new_typ,individual,raw_oracle_gap_points,13.649722541532531,13.082789946759695,14.257045739313323,762
