dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Script,Individual,raw_oracle_gap_points,Raw gap,2.726384866628644,1.6376062263509212,3.988648194762013,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Typological,Individual,performance_loss_pct,PL (%),29.775667818215435,21.89461564954809,37.67852906944561,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Typological,Individual,raw_oracle_gap_points,Raw gap,3.24822842574363,2.0082390637288774,4.651333323704673,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Wikipedia size,Individual,performance_loss_pct,PL (%),48.604738775283415,39.69169467625017,57.152370003303915,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,5.768944786634488,4.100884422453395,7.544107636944961,46
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),14.452068840393412,10.676585994425114,18.742759512899525,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,10.613222990289318,7.690346995274704,13.992301480030154,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),13.86225264513797,10.27000509483822,17.977838799494386,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,10.039999428720598,7.2801217723607,13.29133992618809,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),14.163777785260399,10.596515734735807,18.229555908085562,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,10.026837035436758,7.388562964028252,13.245457660117626,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),13.899678011503255,10.75074729466045,17.478992050122525,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,10.431605880310865,7.823587695305904,13.540458322608176,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),13.735066955985307,10.462103660913613,17.461767743729173,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,9.845238119290967,7.571057188048268,12.501651432850752,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),10.01938094486407,7.597860853997901,12.871953669305029,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,7.285032335598188,5.3667187601681405,9.739437795658857,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),11.083956441775348,8.239187170451313,14.436297952302802,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,8.611725130572438,6.202860832244738,11.475125777302349,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,NNRank,NNRank,performance_loss_pct,PL (%),13.671336388517119,10.120065096098699,17.767647127772083,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,NNRank,NNRank,raw_oracle_gap_points,Raw gap,9.97867122888048,7.189664118626341,13.253119741242573,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),12.154518632818025,9.26544907493766,15.618030924137837,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,9.188242350795662,6.788388824687463,12.135405540989863,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),15.690349610085768,12.09474435371551,19.588846621634776,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,12.145881321856539,9.102813929410912,15.56787979904818,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),15.64223057133636,12.172729767520394,19.69283596855302,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,11.50821345385297,8.792951837269111,14.712875481328238,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),29.985977106733014,22.30267289999261,37.899657783195785,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,18.131346172489778,12.982445992039338,23.736132492748222,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),28.427890967574328,20.840779753361915,36.40195565333475,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,15.859609034784832,11.34818249218067,20.731614567991333,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),26.626717996265974,19.25968023747819,34.347249730044865,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,14.566640811351258,10.282302795636843,19.288974371049378,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),18.511060202535607,12.942993936684418,24.777856710466736,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,9.885604374927839,7.042124228429077,13.2642728859406,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),28.663813006810464,20.927954726412203,36.71814288511063,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,16.53967391704918,11.815333182275038,21.758053348354686,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),14.670683716052118,9.854185131097566,20.303916953774678,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,8.863950095825446,5.590358860003011,13.00176206920183,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),24.248840803503747,17.50564079133171,31.641564476158297,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,15.321064032212293,10.391567891880424,20.94591302445677,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,NNRank,NNRank,performance_loss_pct,PL (%),30.487655389009156,22.49762562989257,38.94906271714654,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,NNRank,NNRank,raw_oracle_gap_points,Raw gap,16.32446300511409,11.961523349507914,21.034602807509888,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),31.66434165450602,23.95691312028829,39.924974641297744,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,21.747956675037006,15.510500768009686,28.501948542599838,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),26.559825811716205,19.59540097880492,33.84729133408858,74
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,15.101477643787954,10.980429107360829,19.52294835492198,74
