dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,16.746577937605437,13.360920998019926,20.328814534560152,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),34.26770481947835,29.256967075889136,39.495820848599166,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,20.382108633423748,17.094577217004872,23.91962357088284,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),26.94486762347889,22.895193120171644,31.203975452053125,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,17.225103861709357,14.230592779681201,20.444489584915424,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),27.622527307132998,23.214681413576113,32.25623139856258,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,15.175807533688417,12.687222123543448,17.87715918482869,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),34.493927442122214,29.878000550296637,39.245828580824565,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,20.483027306400842,17.526830275760062,23.587388391506668,185
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),55.61386762035412,53.90367624104566,57.3018114639169,762
