dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,NNRank,performance_loss_pct,-6.151058602827632,-15.426598506185549,2.9716919808232345,0.19529023548822558,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Script,performance_loss_pct,-7.4086277263336555,-16.447438135513984,0.032578222699895146,0.05269736513174341,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Typological,performance_loss_pct,-3.5083849471948065,-8.767927285873288,0.15433414594448602,0.2216889155542223,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Wikipedia size,performance_loss_pct,-8.289273954233447,-14.841462124452182,-1.5830835081646069,0.014999250037498125,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Geographic,performance_loss_pct,5.719066200507929,2.1291284999377145,9.61782589131666,0.0002999850007499625,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,LightGBM,performance_loss_pct,3.8751012514980965,0.3088829225035411,7.82222644603615,0.033398330083495825,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,MLP,performance_loss_pct,3.8227687404056225,0.04215470338948717,8.045656087336493,0.04679766011699415,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,NNRank,performance_loss_pct,-1.7334274927973155,-10.518715466854905,6.148347837732937,0.6975651217439128,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Script,performance_loss_pct,-2.990996616303339,-14.117206826328541,8.186801620762296,0.5866706664666766,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Typological,performance_loss_pct,0.9092461628355096,-8.501582522688778,9.878395570621496,0.847457627118644,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Wikipedia size,performance_loss_pct,-3.8716428442031323,-12.627542771200174,3.3605350345617966,0.3544822758862057,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,LightGBM,performance_loss_pct,-1.8439649490098329,-4.960629724862754,0.40611918470639213,0.14219289035548222,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,MLP,performance_loss_pct,-1.8962974601023066,-5.435991997122683,0.5534013966318121,0.22198890055497225,10
