dataset,task,model,metric,method,method_type,resource,n_targets,trial_complexity,pool_fraction,near_oracle_coverage,exact_best_coverage,best_in_set_pl,large_enough_for_main_ctc
taxi1500_mt5,taxi1500,mT5,F1/LAS,ASJP,Individual,HRL,7,26.857142857142858,0.9218390804597701,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,ASJP,Individual,LRL,701,26.908701854493582,0.8970010002131602,0.9215406562054208,0.8787446504992867,0.012477632404110293,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,ASJP,Individual,MRL,24,27.0,0.9297413793103448,1.0,0.875,0.0019309967946283624,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Composite-Equal,Composite,HRL,7,21.0,0.7206896551724137,1.0,0.8571428571428571,0.003437457992193786,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Composite-Equal,Composite,LRL,701,21.061340941512125,0.7020791316182137,0.9029957203994294,0.8716119828815977,0.013050626273502038,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Composite-Equal,Composite,MRL,24,20.791666666666668,0.7159961685823756,1.0,0.8333333333333334,0.004477435309303933,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Composite-RRF,Composite,HRL,7,24.571428571428573,0.8433497536945813,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Composite-RRF,Composite,LRL,701,25.54493580599144,0.8515421319297555,0.9144079885877318,0.8787446504992867,0.011874128325035344,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Composite-RRF,Composite,MRL,24,25.291666666666668,0.8708333333333332,1.0,0.8333333333333334,0.0036586445351674125,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Genetic,Individual,HRL,7,21.142857142857142,0.7254515599343186,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Genetic,Individual,LRL,701,21.092724679029956,0.7031252562021414,0.9072753209700428,0.8630527817403709,0.01328557482784738,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Genetic,Individual,MRL,24,21.0,0.7231321839080459,1.0,0.9166666666666666,0.0008573681854531834,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Geographic,Individual,HRL,7,27.285714285714285,0.9362889983579639,1.0,1.0,0.0,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Geographic,Individual,LRL,701,27.63623395149786,0.9212537098070079,0.9329529243937232,0.9029957203994294,0.009010914693961357,True
taxi1500_mt5,taxi1500,mT5,F1/LAS,Geographic,Individual,MRL,24,27.541666666666668,0.9483716475095786,0.9583333333333334,0.9583333333333334,0.0024117200056435833,True
