dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Script,performance_loss_pct,-14.07017357290884,-16.043420852515876,-12.072087693905706,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Typological,performance_loss_pct,-18.439838876822336,-20.538790442660183,-16.366720423615526,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Wikipedia size,performance_loss_pct,-17.888918829591123,-19.868575077794045,-15.82177951726875,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Geographic,performance_loss_pct,10.103186003052297,7.7076352398959855,12.464619350561911,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,LightGBM,performance_loss_pct,39.556614620051825,37.473085547092985,41.62709679657894,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,MLP,performance_loss_pct,23.212980153726747,20.825981246985755,25.559419685019282,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Script,performance_loss_pct,8.486299868348897,6.862817908492613,10.104987527874448,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Typological,performance_loss_pct,4.116634564435399,2.450075371925942,5.7537655965807515,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Wikipedia size,performance_loss_pct,4.667554611666618,3.1908188486553026,6.150982043923587,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,LightGBM,performance_loss_pct,29.45342861699953,27.279518826535874,31.656848570955084,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,MLP,performance_loss_pct,13.109794150674453,10.773783585511948,15.439816264005843,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,Script,performance_loss_pct,-1.6168861347033974,-3.688827519091128,0.49011420965484065,0.1344,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,Typological,performance_loss_pct,-5.986551438616895,-8.283410535390486,-3.7033888963981267,0.0,762
